Consumer,Resource,Certainty
7,126,2
7,137,2
7,139,2
7,140,2
7,216,2
16,1,3
18,125,2
18,126,2
18,138,2
18,139,2
18,140,2
19,1,3
22,6,2
22,15,2
23,6,2
23,12,2
24,6,2
24,12,2
25,6,2
25,15,3
26,12,2
26,17,3
27,15,2
29,5,3
30,5,3
30,8,3
31,8,3
221,17,3
221,221,3
222,41,2
222,95,2
223,105,2
224,135,2
225,150,3
226,81,3
227,67,3
228,1,3
228,153,3
229,160,3
229,167,3
229,181,3
230,52,3
230,690,3
230,691,3
231,1,2
232,1,2
232,11,2
232,14,2
232,21,2
233,1,2
233,8,2
233,9,2
233,15,2
233,88,1
233,243,3
233,244,2
233,248,1
234,9,2
234,12,2
234,13,3
234,22,1
234,23,1
234,24,1
234,25,1
234,26,2
234,27,1
234,28,2
234,30,3
234,31,3
234,244,2
235,1,2
235,244,2
235,247,2
235,248,1
235,389,1
236,1,2
236,3,3
236,5,2
236,8,2
236,26,2
236,28,2
236,30,3
236,31,3
236,32,2
236,35,2
237,1,3
237,3,3
237,5,3
237,10,3
237,16,3
237,26,2
237,31,3
237,32,1
238,1,2
238,26,2
238,28,2
238,29,2
238,30,3
238,31,3
238,32,2
238,33,2
238,34,2
238,35,2
238,36,1
239,34,2
239,35,2
239,36,1
239,243,3
239,244,2
239,245,2
239,247,2
240,1,2
240,2,2
241,28,2
241,29,2
241,32,2
241,33,2
241,83,1
241,87,1
242,1,3
242,3,3
242,10,3
242,13,3
242,20,3
243,1,3
243,17,3
243,26,3
243,28,3
243,29,3
243,30,3
243,31,3
244,1,3
244,17,3
244,26,2
244,28,2
244,29,2
244,30,3
244,31,3
245,9,3
245,20,3
245,22,2
245,23,2
245,24,2
245,25,2
245,28,2
245,29,2
245,30,3
246,9,3
246,26,2
246,27,2
246,30,3
246,31,2
247,1,3
247,3,3
247,4,3
247,10,3
247,13,3
247,28,2
247,29,2
247,30,3
248,1,2
248,4,3
248,10,3
248,13,3
248,20,2
248,30,3
248,35,2
249,24,3
249,28,3
249,30,3
249,32,3
250,1,2
250,9,2
250,17,2
250,20,2
250,26,2
250,30,3
250,33,2
250,243,3
250,279,1
251,252,2
251,253,3
251,255,3
251,256,3
251,259,3
251,278,3
251,279,3
251,281,3
251,282,3
251,283,3
251,389,3
251,404,2
251,407,2
251,410,2
251,437,2
251,438,3
251,439,3
251,440,3
251,446,3
251,448,3
251,459,3
251,460,3
251,461,3
251,462,3
251,463,3
251,464,3
251,465,3
251,470,2
251,471,2
251,478,3
251,479,3
251,489,3
251,492,3
251,494,3
251,495,3
251,496,3
251,497,3
251,498,3
251,499,3
251,500,3
251,501,3
251,526,3
251,532,3
251,537,3
251,538,3
251,544,3
252,250,3
252,254,2
252,255,3
252,256,3
252,257,3
252,259,3
252,260,3
252,278,3
252,284,3
252,285,3
252,287,3
252,307,3
252,436,3
252,437,3
252,438,3
252,439,3
252,440,3
252,441,3
252,456,3
252,460,3
252,462,3
252,463,3
252,464,3
252,466,3
252,470,2
252,471,2
252,476,3
252,478,3
252,489,3
252,491,3
252,492,3
252,493,3
252,494,3
252,497,3
252,498,3
252,499,3
252,520,3
252,521,3
252,536,2
252,541,2
252,544,3
252,546,2
253,251,3
253,252,3
253,253,1
253,254,3
253,255,3
253,256,3
253,257,1
253,276,3
253,284,1
253,289,1
253,295,1
253,296,1
253,297,1
253,304,1
253,437,1
253,438,1
253,440,1
253,441,2
253,460,2
253,461,1
253,462,1
253,463,1
253,464,1
253,465,3
253,470,3
253,490,1
253,492,1
253,495,1
253,496,3
253,498,1
253,499,3
253,501,3
253,521,3
253,537,3
253,538,3
254,212,3
254,250,3
254,254,2
254,255,3
254,256,2
254,276,3
254,281,3
254,284,3
254,290,3
254,295,3
254,296,3
254,297,3
254,304,3
254,305,3
254,389,3
254,437,3
254,459,3
254,461,3
254,463,3
254,464,3
254,465,3
254,474,3
254,475,3
254,490,3
254,492,3
254,493,3
254,494,3
254,495,3
254,496,2
254,497,3
254,498,3
254,499,3
254,500,3
254,501,3
254,535,3
254,536,2
254,541,2
255,250,3
255,255,3
255,281,3
255,292,3
255,295,3
255,296,3
255,297,3
255,304,3
255,305,3
255,399,3
255,437,3
255,438,3
255,439,3
255,440,3
255,441,3
255,459,3
255,460,3
255,461,3
255,462,3
255,463,3
255,464,3
255,465,3
255,470,3
255,477,3
255,489,3
255,492,3
255,493,3
255,494,3
255,495,3
255,496,3
255,497,3
255,498,3
255,499,3
255,500,3
255,520,3
255,538,3
255,542,3
256,39,3
256,250,3
256,257,3
256,274,3
256,275,3
256,296,3
256,297,3
256,305,3
256,350,3
256,403,3
256,436,3
256,437,3
256,439,3
256,440,3
256,441,3
256,447,3
256,459,3
256,460,3
256,462,3
256,464,3
256,465,3
256,470,3
256,475,3
256,478,3
256,479,3
256,490,3
256,492,3
256,493,3
256,494,3
256,495,3
256,496,3
256,497,3
256,498,3
256,501,3
256,526,3
257,1,2
257,9,2
257,17,2
257,28,2
257,30,3
257,31,3
257,32,2
257,33,2
257,69,2
257,71,1
257,84,1
